User_id,Extension,TipoMov,fecha
70,-8,1,05/01/2023 18:02
70,9,0,06/01/2023 16:32
70,-7,1,07/01/2023 21:13
70,-2,0,09/01/2023 19:02
70,-3,1,11/01/2023 00:48
70,-8,0,17/01/2023 06:03
70,6,1,20/01/2023 10:28
70,-2,0,21/01/2023 16:50
70,7,1,24/01/2023 01:06
70,-10,0,31/01/2023 15:16
70,8,1,01/02/2023 18:35
70,-5,0,01/02/2023 20:10
70,6,1,02/02/2023 12:15
70,-5,0,03/02/2023 20:46
70,6,1,10/02/2023 04:27
70,7,0,23/02/2023 10:35
70,6,1,27/02/2023 14:05
70,-4,0,28/02/2023 23:02
70,4,1,02/03/2023 16:08
70,-6,0,03/03/2023 09:26
70,0,1,06/03/2023 14:13
70,6,0,22/03/2023 02:15
70,2,1,22/03/2023 03:31
70,5,0,29/03/2023 07:51
70,-6,1,12/04/2023 13:19
70,-3,0,26/04/2023 01:24
70,-5,1,26/04/2023 23:49
70,-3,0,03/05/2023 06:17
70,6,1,13/05/2023 07:36
70,3,0,14/05/2023 02:26
70,9,1,17/05/2023 01:32
70,-5,0,09/06/2023 06:49
70,4,1,11/06/2023 00:46
70,-5,0,13/06/2023 09:22
70,7,1,15/06/2023 18:41
70,7,0,17/06/2023 11:40
70,7,1,26/06/2023 11:34
70,6,0,27/06/2023 22:44
70,-8,1,03/07/2023 00:45
70,-1,0,06/07/2023 10:12
70,7,1,07/07/2023 06:12
70,6,0,18/07/2023 18:14
70,-9,1,20/07/2023 08:04
70,7,0,20/07/2023 18:18
70,-6,1,22/07/2023 00:33
70,1,0,23/07/2023 09:06
70,7,1,18/08/2023 12:17
70,-7,0,19/08/2023 12:03
70,4,1,21/08/2023 09:02
70,-3,0,06/09/2023 22:32
70,4,1,14/09/2023 02:12
70,-10,0,17/09/2023 16:59
70,9,1,21/09/2023 08:14
70,4,0,30/09/2023 00:23
70,-4,1,03/10/2023 09:20
70,-4,0,09/10/2023 09:02
